id,sentiment
just one time watch movie,movie
it is bakwas movie totally time waste,movie
OffTopic: 1. Signup using login code: 7D5YJM to earn Rs.200 on Ola app.,movie
2. Earn double talktime by registering via h t t p : / / g o o . g l / pNWdWM (remove spaces) limited offer! Hurry! T&C - install any other app inside after registration for successful credits.,movie
abc,movie
one time watch,movie
okay,movie
amazing movie,movie
one time watch movie,movie
just an average movie..,movie
just an average movie...,movie
just an average movie,movie
It is just an average movie.,movie
ok one...........,movie
hope this movie ll good .. giving rating for trailer,movie
good,movie
nice,movie
nice,movie
Naseeruddin shaw acted well and saved the movie. Otherwise nothing appealing,movie
it does not look very appealing,movie
"""If one doesn't have creativity to name the film, what can one expect from the actual product. Absolute waste of time!!""",movie
No one understand what is in this movie,movie
Indian movie industry is changing at a rapid face,movie
OffTopic: 1. Signup using login code: 7D5YJM to earn Rs.200 on Ola app.,movie
2. Earn double talktime by registering via h t t p : / / g o o . g l / pNWdWM (remove spaces) limited offer! Hurry! T&C - install any other app inside after registration for successful credits.,movie
Timepass,movie
one time watch,movie
okay,movie
so so movie,movie
just an average movie...,movie
just an average movie,movie
"""There is no option to select a Zero rating ! Oh, how they can copy such foreign movies and still say it is their product, without fearing for copyright violations? People's memory not so short, at least in the movie field concerened :) 0.2/5.0 is my rating.""",movie
Senseless movie,movie
i was about to download this movie thanks ..,movie
good,movie
The review has pointed me away from the movie. Thanks,movie
ok,movie
it's best movie,movie
it's best movie,movie
low budget entertainer,movie
not good.,movie
if you have time then go to see this film,movie
The sole star is for the entertaining review.,movie
good movie,movie
good movie,movie
not interested..........,movie
niceone,movie
"""horrible Bakwas movie ,waste of time waste of money""",movie
"""If the plot still interests you, watch the original. This one is a terrible remake. Everything is in excess.""",movie
Will better watch the Hollywood version,movie
THE MOVIE IS OK...IF YOU ARE GOING TO THEATRE IS NOT GOOD...WATCH IT ON tv..,movie
Not good movie,movie
okay,movie
Movie was NT interesting at all..And the actor's acting was very average..,movie
One time you can see this movie,movie
"""An average movie,""",movie
ok ok,movie
